20	64	1000011	26	11111	a	1100001	0	1000001	18	10001	1001111
1000001	111101	1011	1010111	1010111	5e	e	1010001	111011	111011	64	16
4e	11001	11111	62	16	1011001	30	20	12	11	12	1010001
1101	1001	1001101	5c	100101	5c	1010101	1001101	1100001	26	5a	42
42	20	11	110001	1011101	30	10111	101111	1011011	38	111111	56
12	54	101101	111111	c	1011101	60	1101	111011	6	38	0
38	1e	12	60	3c	18	52	3e	28	1010101	2e	6
10101	1011011	1100011	28	52	1011011	56	110101	100111	64	1a	1001
0	111101	10011	111111	16	18	1001001	101111	38	111111	5c	1011
1011001	1001	64	20	111011	3c	10111	20	4e	3a	10011	28
5e	110001	1011101	10	3e	1010001	100011	24	1011111	100101	1101	1010101
2c	110101	1011111	1001	100101	1000101	100011	100011	a	20	5e	1
3e	40	1111	1100001	1100001	111111	60	110001	4a	46	36	1011111
1100001	8	60	4e	100011	111001	26	10011	4e	1000011	1011	2c
111111	20	16	10101	5c	1c	4a	11	14	10101	2e	110111
46	111001	1010011	1000101	2	2e	10	101111	48	10011	111	56
5c	8	c	46	1011	101101	1010001	22	11011	30	1001101	10
c	22	16	1c	11101	1000011	2a	111111	1a	1010101	16	4
64	42	60	1a	46	11011	a	100101	1000011	1000111	3c	64
1011001	110101	32	2c	6	1a	18	10011	2	4c	e	110111
11111	2e	11	1101	12	8	60	12	48	50	32	111111
1011111	14	1011001	26	1011	101111	1010101	8	60	111101	110011	24
1000111	a	1c	100011	101111	c	3c	26	6	10	1011001	10001
10001	24	16	8	64	100001	0	2c	101011	111011	4c	42
22	1111	100011	4e	1011	111	64	5e	36	e	1010001	28
1001011	110001	1	100001	10101	48	100111	26	e	3c	1a	52
10101	1010111	2c	4a	c	5c	24	1100001	110101	111011	26	100101
100001	1a	1011111	1011011	1001011	1001001	1100011	11011	44	111	46	110011
4a	3a	28	a	2	4e	1000011	5a	1011	3e	26	46
24	1001001	3e	10	111101	a	1001011	111111	6	2e	e	111111
1011101	40	110111	3a	100101	22	1001111	4	1	58	11011	62
26	46	56	1011101	30	44	1	5c	46	64	1001011	60
28	46	1011111	1011101	a	1010111	20	11111	1011101	111	11011	2
11001	11011	4c	11011	2	28	5a	111101	1000101	30	1100011	2e
30	12	111	14	1e	28	10	36	62	62	110101	26
1a	3a	30	11111	36	1a	101001	101011	54	28	101011	6
10	28	1100001	e	11	10	11	1011101	1001001	10001	12	5c
24	110011	11001	11011	3e	a	100011	1011111	111011	1010011	2a	60
110001	26	40	111011	1	100011	1001101	1001011	28	10011	36	11001
10111	1001011	4c	111	11011	1000111	10111	2	1011011	111	60	12
3c	2	111	e	110111	1000111	101101	10101	1001111	101111	4c	64
1000011	54	0	1101	50	110011	1010101	58	4c	110001	111001	12
38	42	40	111111	1000101	1100001	110011	3a	42	8	40	11
42	101101	1c	1000011	2a	1000101	2a	1010111	0	10001	1010011	3c
111101	1000101	10011	1e	54	24	5e	52	18	1000101	1011101	4a
5e	10	101001	1100011	100011	22	101101	12	1101	1001111	11101	34
1001011	101001	1001011	56	1c	111011	101111	100111	4e	100111	11111	11
6	1001001	2e	3a	32	1001001	2c	11111	36	1011	20	2c
10001	101011	111011	100101	1010111	1001	50	20	12	48	58	46
111101	4e	1100001	110111	40	12	1001101	2e	101101	1011	46	111
c	40	1001101	101	1010111	20	111001	1001101	2c	4	2e	1001
14	101111	1010011	11	1011011	6	64	56	1111	100011	1001011	26
110011	12	1011011	54	10101	22	1001101	110101	38	c	11011	5c
3c	111111	2e	24	1c	2e	110001	2	10001	1001011	48	4a
34	56	c	1010101	1	3a	2a	42	30	34	1010001	8
58	2e	14	10101	a	58	20	101111	2c	10111	4e	100011
3a	110001	c	1	a	111	1010101	10001	110101	1000111	100101	26
101011	18	1011111	50	38	1011101	101011	20	1	1011	1011011	a
2a	0	101101	11001	44	2a	5e	62	1111	1	10101	1001001
8	110011	1	5e	1111	2c	30	36	101011	4	e	e
1011011	1000111	1000011	4	0	2	1c	1001	1011	40	42	1111
10	6	4a	1000101	1a	2a	1011101	30	16	4a	5e	1010101
2a	1001101	101011	111011	10011	28	2c	56	111011	100101	40	1001001
0	100101	1010101	50	1011011	101	100011	110011	4	1011001	64	4c
1010001	50	36	1011	28	1001	1010101	c	42	1001001	110001	11
1011101	2	1011111	1100001	10	2e	1010001	111111	38	100001	110101	1000001
1001011	42	1011011	10111	1011	1010011	40	26	101001	46	111001	100101
5a	1001101	42	111101	34	1a	8	1011111	11	101	4e	111
4	36	111001	10011	62	42	101	2a	10	a	4	38
4	1c	46	6	1a	42	11011	1	34	1e	32	1010001
1101	100001	1011111	4a	18	18	52	10	34	c	10101	1011011
110101	2	36	1100011	62	30	1010011	1a	1001011	111	101011	100001
26	1	42	1100011	111111	111011	10001	28	111	58	c	2c
100001	20	1000101	11	32	2	60	0	101111	3c	14	1000011
111011	1100001	2	c	111	62	52	1001101	24	54	62	2
5c	111111	1	e	c	10101	48	1000101	1101	64	14	10001
1001	2a	1001001	64	1000101	12	10101	4e	a	1010011	1000101	5e
3e	20	101001	1000011	5e	4e	111101	1011111	1e	42	101011	a
1010111	60	28	e	100011	1010101	1010101	1011111	1001	20	111001	1011
1011001	110001	48	101001	38	1000111	100111	111101	10	1100011	1010001	1000111
10111	11011	1010111	8	100101	58	110101	3c	20	1e	4e	a
1000011	2	40	50	100101	1010001	1001	111	10001	44	e	1000011
18	3c	111101	14	111101	100111	1010101	1001	6	8	22	48
8	2	4e	2a	11111	100111	1000011	5c	4c	26	101101	4e
111111	1001	64	32	111001	1000101	1001011	111101	46	40	11111	11101
1c	40	2	e	22	52	4	1100011	38	3c	4c	101001
60	1011	1111	10101	101011	1011001	110011	62	100111	4c	1001101	1011011
1001001	4c	1000001	110101	101011	1111	30	44	1001011	a	1010011	60
2a	2a	1100011	101101	1011101	1000101	1	100011	11011	1	1001	8
1e	11011	6	3a	62	c	38	11001	5c	101111	11111	16
50	1000111	101011	22	1100001	64	1001101	16	40	32	1000001	10111
100101	1100001	1111	58	62	111101	34	11011	28	4	10	2a
111111	10111	c	32	62	1000001	100001	111101	4	10011	36	62
4	48	1100011	32	56	0	50	44	5c	58	111	1001101
1000001	34	5e	28	1100011	1011111	111011	4	10011	3e	2c	1001
5a	1001011	10	22	34	56	111001	c	a	11001	111011	110011
36	110101	10101	110111	1100001	12	42	10111	30	111101	1	4e
100001	101001	34	1111	101111	111111	1010101	100101	3e	18	1011111	46
32	22	1111	22	36	52	101	10011	100101	1001111	101011	1011001
64	18	100001	52	46	1001001	24	1100011	1011101	110111	11	24
1001101	1001101	42	22	3a	4c	44	4e	2e	3a	2c	1011111
36	1001111	10	3e	5a	2a	1000011	1000101	1001011	54	1100011	1011
1111	6	1011101	4c	3c	100101	10	1000001	24	1c	10001	11111
1001011	111011	111001	1011	40	a	1a	40	48	1a	101001	111
c	38	1011	20	58	4e	110111	110001	18	111011	1011011	8
101101	1001011	14	28	46	10101	4a	a	10001	1101	100101	101101
111	a	50	111111	101001	1011111	4	10001	10	5e	10	1010111
54	1011111	10111	101	1e	1e	10111	110111	11111	26	1011001	2c
1100011	1000001	50	28	a	1100001	110011	54	2a	48	2	0
2e	1	52	100101	4	11001	8	5e	5e	1000001	100111	60
62	1000101	30	111111	64	11001	5a	1010001	1101	56	32	32
1001111	2c	20	110001	100101	1101	36	1001011	10011	36	101001	11101
1e	62	1100011	1a	4e	1010001	1	101011	111001	110101	42	111101
1e	101011	1000011	1011011	110111	12	100011	1010111	11001	32	26	38
10011	3c	1001111	1001	11101	1	54	1001111	101101	1101	48	5a
101011	11101	1000001	11001	50	1000111	111011	1101	1000101	26	10	54
0	101	14	10001	101001	5c	c	10	11101	110111	101011	56
24	1000101	c	1010011	101111	0	12	10011	56	5e	100111	101001
100001	4a	50	40	50	46	1111	52	11011	1011111	58	101011
26	1010101	3e	1010011	54	111011	11	1010001	c	56	11001	1010011
4e	58	1011101	110011	11101	101001	110001	1011011	101011	a	1e	100011
2	4a	12	3c	46	11111	5a	100001	1011001	28	1010111	36
34	1001	1e	1010011	101001	1a	50	1001111	1011011	1001101	5a	50
3c	5c	1001101	1101	4c	26	42	10	48	a	48	4a
18	2	42	110111	1c	36	1011101	28	2a	1010001	1010111	1001
1a	11001	110001	4a	100001	1000001	101101	26	100001	111101	101001	1011001
40	101101	1001101	1010111	48	22	101	111001	62	3e	22	11001
0	100001	1a	2e	20	34	11011	101101	e	1a	1010001	101
1011011	110011	110101	2	a	24	110011	4c	11	42	26	28
28	52	26	1e	40	3e	12	101111	1000101	1011111	2c	8
111001	1	111001	111001	111111	110001	100111	11001	48	56	110001	4a
42	4	3e	52	1000111	1010111	101101	1011011	3e	1011111	1001011	36
100001	62	110011	101	10011	58	110111	101011	20	1000111	1100011	111011
1010011	11111	11101	1001001	16	100011	1001101	1001001	50	100001	1011001	12
1010101	3c	8	2e	1011011	40	110111	24	1e	6	62	10101
11001	8	1001101	1001101	111011	110111	5c	1010011	1000001	3a	44	101011
101011	101111	58	42	10111	24	40	26	101111	1c	6	2c
1100001	4a	4c	30	5e	101	14	1101	1e	a	11	11111
54	62	56	62	101101	2a	1011	54	60	111111	1000111	40
1000011	54	1011001	1001011	2c	c	10001	101101	111011	2e	36	110111
56	10	52	111	10	c	100001	11001	30	32	52	5a
2e	111001	10001	1a	14	4	58	5a	c	1010011	6	1001001
2a	5a	5a	110011	14	c	100111	110111	c	20	110001	1111
1010111	58	4e	1001001	36	111001	28	110111	101	2c	11101	20
52	111011	10111	1001001	1a	c	20	18	58	3c	38	10111
1011101	44	111111	1011111	111001	1	12	110101	c	36	1001101	1011
10011	101011	1001011	100011	56	22	54	42	100101	2	16	5e
10011	30	4c	e	2c	4a	101111	10	54	1101	1011001	11001
52	26	4a	111011	14	11011	20	40	5a	28	c	11111
50	14	1010111	5e	1000011	1011111	5a	11101	1100011	32	60	a
11011	10011	2	58	1100001	11	26	58	1000001	1011011	1010001	111111
5e	52	4c	1011111	48	100011	101001	40	1011001	10101	a	32
1011101	100111	2c	100001	1010111	1001001	1011	1011101	8	1111	26	1010111
1010111	30	2c	1010001	11001	100001	1111	5a	1001	18	1100011	1000111
38	14	42	10011	2e	64	4c	1001011	101	111111	58	1011101
46	11111	1000011	a	8	14	101011	1c	1011001	1011	12	111
10011	101	4	4e	1010111	36	10101	11001	1e	1000001	1	1001
34	60	60	34	2a	c	1111	1001111	20	1c	4a	1011
62	1011001	11011	3c	46	44	10001	4e	111101	1001001	1e	101101
2e	42	11111	1001001	110101	32	4	36	58	101101	46	1101
1a	10	1c	4a	26	100111	11001	1001001	111111	2a	1111	3c
111001	22	20	100001	101101	3e	100101	101101	1011011	10001	1	1011111
100101	1101	1011	62	1010111	58	1001	111101	3e	1001101	100111	1010001
1011001	101101	2c	46	42	1010111	14	1101	1000101	36	12	1010011
1001101	1001101	4e	101011	11101	110011	a	1	16	12	1011	5c
10111	1001001	12	1101	110001	1	111	10001	1001101	1001111	100111	3c
1001101	1011	1100001	0	c	1100001	1010111	1001101	56	110001	64	101011
10011	2c	11011	101101	1000101	1000011	60	22	11101	32	111011	20
110011	58	24	1	28	3e	1000101	1001	111111	101001	3c	1010001
16	20	101	3c	1101	1	1000011	60	1c	46	44	100001
10101	100111	5a	5e	111111	110111	1001101	22	1011	6	40	100101
11111	18	1100011	1001111	1c	2e	2	2a	46	28	1000111	62
3a	4e	54	100001	c	16	101001	11001	10011	52	110101	30
1a	34	11101	1111	4e	1a	1c	3c	1010011	101101	110111	6
e	20	c	10111	111001	1001011	40	36	11001	110001	16	110001
1000011	20	100101	24	10111	58	50	32	10	11001	1001111	12
110011	48	100001	110111	48	10101	46	c	e	11111	2c	11111
14	28	1000111	1000101	10111	1100011	1010001	1	36	1	4	64
1100011	60	110101	1001101	48	101	1001001	4c	2e	1010001	4a	11101
100101	2	c	2c	54	3e	5e	1000111	14	32	1011	38
110101	1100011	c	1000101	20	1010001	0	101101	46	44	30	1c
e	2a	10011	12	5e	2c	1010111	110101	10001	111101	30	1000101
8	a	111001	56	48	5c	42	22	1a	6	14	5e
4e	100001	10	e	1e	10	64	1001011	12	10111	2a	44
101101	11001	101001	3e	2	14	10011	111011	38	101	3e	1101
c	18	e	111001	101001	5a	22	2c	e	58	110011	100111
11001	100111	0	11111	10	10111	4e	38	5c	1111	40	1001011
101	48	0	5c	101011	4c	50	11011	1001101	3a	1101	1101
11	1000001	1001111	20	110001	1a	10111	38	1101	50	5a	10101
111111	1000111	10101	10011	10011	1001001	100101	1001101	3c	8	2c	1011011
48	11	1011111	20	110011	50	1100011	1e	11011	1001011	38	a
10	8	110011	5a	10111	1011011	1001001	110101	11111	64	30	1000011
3a	111011	111101	42	1000111	48	58	1011001	1011101	5e	1100001	62
64	10011	10001	111111	1000011	1111	11101	11011	1011011	44	1	1101
2a	1101	5a	4c	1001101	5c	1010011	16	10001	1010011	52	2c
46	1001011	100111	100011	1011001	110111	101111	62	8	20	1c	50
4a	0	16	14	1001	1000111	c	42	36	34	3a	e
1001011	34	111	110001	34	2a	5a	10	20	38	10011	1010011
1	2	11	4	101	6	8	1001	c	10	12	1c
1000101	12	101001	1011001	100111	34	3e	3a	1e	1000101	5e	4a
1011011	4c	111	11101	1011011	101111	3c	40	3a	a	50	1001111
10011	111111	1010101	1100001	111111	3c	2e	56	46	1011111	40	42
3a	111011	111101	42	1000111	48	58	1011001	1011101	5e	1100001	62
64	10	101101	11001	1010001	111101	3c	8	32	24	1011001	1
1011101	4e	11101	38	1	50	30	1c	2c	c	1011001	1001101
28	44	111111	2c	5a	2c	1101	1001	1011001	2c	10111	42
1100011	1100011	1011001	10111	60	46	64	101	11111	11011	5a	1011101
110101	111001	111101	1001001	6	1011001	101111	100011	111111	1010011	60	16
2a	11111	1000111	4e	52	1000011	1001111	4a	4e	111	48	1011111
10111	1010111	32	111101	11	111101	1100001	110101	54	11111	60	20
1000001	36	a	101101	1011011	1011	e	111101	50	54	62	1011
14	1000111	110111	1001101	1001001	10	100111	11111	11	101	101011	1011001
110001	1001001	2a	30	30	24	8	1100001	10101	1	42	28
1000001	2	0	1001011	1010001	1000001	46	2e	2c	5c	12	101
111001	30	64	1010001	110011	2a	50	111101	1e	16	1100011	111111
1010111	1011	1000101	111101	64	22	100001	1100011	100001	111101	110101	4c
44	1011	4c	26	101	1a	1001111	100001	101	1011	4a	0
110111	26	1001111	4e	2	6	30	100101	101	110001	101001	18
c	56	20	50	1001	1000111	1100001	50	26	56	100001	10
16	3a	4	111	42	c	44	11011	11101	4	62	e
44	4c	110111	1000101	5e	10011	12	1010111	100101	5c	10101	16
34	100101	1010101	26	18	5c	1011	1000011	56	e	22	1010001
1011	101011	6	11001	1101	42	3c	1001001	14	1000111	2	11
10	11101	10101	101001	11001	1	2c	52	101001	38	110111	12
1011101	1001001	10001	1011111	28	4	40	12	10011	10011	111101	101
1001101	1010001	52	46	11	100011	44	1001111	5c	1e	3e	101011
111101	1011111	40	52	100011	24	11011	111011	46	1001101	4e	1011101
1100001	1	1111	1001011	26	1011111	1100011	1111	28	1010111	1001101	101
101011	36	10001	110011	5c	110111	2a	6	54	52	30	1000101
10101	4	10101	111111	111011	1000011	1011011	34	100101	1011001	40	1001001
101111	101001	16	1011011	24	0	1001001	a	8	34	14	46
5e	46	34	40	40	1000001	1000001	1011111	1001001	3e	18	1010001
3a	1011011	3c	1011001	1	1001011	28	101011	5a	1010101	10011	1100011
100111	52	100001	1101	28	1101	110011	100111	4e	2c	100101	24
18	5a	2	1e	64	110111	6	0	110111	30	11011	64
5e	28	11001	4c	36	14	5a	14	1010111	48	1e	11001
100001	0	111101	58	101001	10	101001	56	30	111001	1000011	1011111
110101	110001	101101	100101	2c	10	5a	1011	1001001	100001	1010011	11
30	18	1011001	40	111111	1000001	42	38	11101	1000001	111	4e
4e	e	58	11111	10	38	2e	3a	1011101	a	1000101	1100001
40	24	11101	10101	20	c	11	1000001	111101	101111	101101	32
56	46	24	1a	111111	1011011	3e	18	1011001	1101	48	10101
11001	2c	1001111	11101	11111	52	62	2e	24	1	1101	3c
1001011	14	110111	1011011	1011101	111	18	111101	24	111001	1000011	10001
100111	10111	4c	110001	3a	10	1000101	30	50	32	62	1001111
2	111111	5c	58	5e	14	111001	64	1000101	1001111	64	1001011
1000111	1001111	1000011	58	4	11101	30	10101	1011	1001	1111	14
1000001	0	50	32	1111	100111	56	22	101101	11	110101	10101
101	46	2a	1001001	58	12	1001	3e	1c	1e	4	46
11111	52	0	110111	30	24	0	0	40	100111	3c	28
54	2e	1011001	100011	46	10001	10001	1011111	1011111	10	14	101101
42	4	111011	1100011	64	4a	11011	100001	62	1000101	58	1011001
1100001	11001	46	2a	18	1000111	111001	2a	34	0	38	110011
a	11001	2	3c	1011101	100101	1011101	1	2a	1010001	10011	5e
11011	2a	1010011	34	111	56	111001	2	64	100011	22	2a
26	1010001	1101	44	111001	6	5c	60	4e	110111	40	11101
1011	0	4	111101	4	101011	14	1e	5c	58	8	100111
1c	110011	10101	1001001	30	101	8	3c	1001111	1101	1111	2e
110001	2	10111	40	4	1010101	28	11011	4e	111001	100001	1c
1010111	c	24	100001	1011101	5a	44	1001011	101011	50	18	111111
1001111	111	4c	111101	10101	46	4e	101011	100011	1111	111001	1010111
100011	1c	5e	28	1	101001	12	60	101111	11011	11101	11011
1100001	c	1100001	28	12	26	10001	12	1000011	10111	1001001	1011101
46	11111	28	1100001	3e	101101	1010011	3c	1100011	1011011	62	1000111
1011101	c	4c	1000011	40	40	3a	18	12	4c	60	2e
e	11011	1001001	100001	1011	18	0	56	11011	1010011	2	101111
